_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,ICD10Codes,DischargesCount,DischargesCountQF,DischargesRates,DischargesRatesQF,PatientsCount,PatientsCountQF,PatientsRates,PatientsRatesQF,HospitalResidentsCount,HospitalResidentsCountQF,HospitalResidentsRates,HospitalResidentsRatesQF
1,1997/98,S92000003,d,Total,d,F60 - F69,1230, ,24.2, ,850, ,16.72, ,135, ,2.66, 
2,1997/98,S92000003,d,SMR01, ,F60 - F69,60, ,1.18, ,50, ,0.98, ,,:,,:
3,1997/98,S92000003,d,SMR04, ,F60 - F69,1170, ,23.02, ,805, ,15.84, ,135, ,2.66, 
4,1997/98,S92000003,d,Total,d,F10 - F19,11010, ,216.59, ,8225, ,161.8, ,490, ,9.64, 
5,1997/98,S92000003,d,SMR01, ,F10 - F19,5330, ,104.85, ,4355, ,85.67, ,,:,,:
6,1997/98,S92000003,d,SMR04, ,F10 - F19,5675, ,111.64, ,4305, ,84.69, ,490, ,9.64, 
7,1997/98,S92000003,d,Total,d,F30 - F39,9455, ,186, ,7045, ,138.59, ,1180, ,23.21, 
8,1997/98,S92000003,d,SMR01, ,F30 - F39,570, ,11.21, ,490, ,9.64, ,,:,,:
9,1997/98,S92000003,d,SMR04, ,F30 - F39,8885, ,174.79, ,6670, ,131.21, ,1180, ,23.21, 
10,1997/98,S92000003,d,Total,d,F40 - F49,3200, ,62.95, ,2755, ,54.2, ,170, ,3.34, 
11,1997/98,S92000003,d,SMR01, ,F40 - F49,745, ,14.66, ,675, ,13.28, ,,:,,:
12,1997/98,S92000003,d,SMR04, ,F40 - F49,2455, ,48.3, ,2095, ,41.21, ,170, ,3.34, 
13,1997/98,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8905, ,175.18, ,6120, ,120.39, ,3160, ,62.16, 
14,1997/98,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2310, ,45.44, ,1865, ,36.69, ,,:,,:
15,1997/98,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,6595, ,129.74, ,4495, ,88.43, ,3160, ,62.16, 
16,1997/98,S92000003,d,Total,d,"F50 - F59, F70 - F99",810, ,15.93, ,675, ,13.28, ,180, ,3.54, 
17,1997/98,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",370, ,7.28, ,305, ,6, ,,:,,:
18,1997/98,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",435, ,8.56, ,385, ,7.57, ,180, ,3.54, 
